"Arbitrary_Identifier","Feature","File","Selected_RT","Selected_mz","mz","Intensity","Fragments","LibraryFile"
"1","","AFFF3_ddMS2_Neg.ms2","2.167767","353.0216","59.81158","163.5208","",""
"1","","AFFF3_ddMS2_Neg.ms2","2.167767","353.0216","79.95583","241.507","",""
"1","","AFFF3_ddMS2_Neg.ms2","2.167767","353.0216","96.95935","171.1882","",""
"2","","AFFF3_ddMS2_Neg.ms2","2.1704","353.0216","265.7565","197.2363","",""
"2","","AFFF3_ddMS2_Neg.ms2","2.1704","353.0216","273.0653","651.4482","",""
"2","","AFFF3_ddMS2_Neg.ms2","2.1704","353.0216","421.6943","271.656","",""
"2","","AFFF3_ddMS2_Neg.ms2","2.1704","353.0216","923.385","213.2137","",""
"3","","AFFF3_ddMS2_Neg.ms2","7.257483","412.9664","59.01277","247.0554","",""
"3","","AFFF3_ddMS2_Neg.ms2","7.257483","412.9664","79.95841","108.2215","",""
"3","","AFFF3_ddMS2_Neg.ms2","7.257483","412.9664","118.9926","1500","",""
"3","","AFFF3_ddMS2_Neg.ms2","7.257483","412.9664","168.9893","1500","",""
"3","","AFFF3_ddMS2_Neg.ms2","7.257483","412.9664","218.9861","1500","",""
"3","","AFFF3_ddMS2_Neg.ms2","7.257483","412.9664","268.9829","1500","",""
"3","","AFFF3_ddMS2_Neg.ms2","7.257483","412.9664","318.9797","1500","",""
"3","","AFFF3_ddMS2_Neg.ms2","7.257483","412.9664","388.4501","100.6792","",""
"3","","AFFF3_ddMS2_Neg.ms2","7.257483","412.9664","412.9664","1500","",""
"3","","AFFF3_ddMS2_Neg.ms2","7.257483","412.9664","498.9266","488.8133","",""
"3","","AFFF3_ddMS2_Neg.ms2","7.257483","412.9664","746.3025","118.94","",""
"4","","AFFF3_ddMS2_Neg.ms2","9.137483","498.9293","59.01277","247.0554","",""
"4","","AFFF3_ddMS2_Neg.ms2","9.137483","498.9293","79.95841","108.2215","",""
"4","","AFFF3_ddMS2_Neg.ms2","9.137483","498.9293","388.4501","100.6792","",""
"4","","AFFF3_ddMS2_Neg.ms2","9.137483","498.9293","498.9266","488.8133","",""
"4","","AFFF3_ddMS2_Neg.ms2","9.137483","498.9293","746.3025","118.594","",""
"5","","AFFF3_ddMS2_Neg.ms2","7.257483","598.9238","598.9238","1500","",""
"5","","AFFF3_ddMS2_Neg.ms2","7.257483","598.9238","599.9316","1500","",""
"5","","AFFF3_ddMS2_Neg.ms2","7.257483","598.9238","79.95736","1500","",""
"5","","AFFF3_ddMS2_Neg.ms2","7.257483","598.9238","98.95576","1500","",""
"5","","AFFF3_ddMS2_Neg.ms2","7.257483","598.9238","82.96085","1500","",""
"5","","AFFF3_ddMS2_Neg.ms2","7.257483","598.9238","168.9893","1500","",""
"5","","AFFF3_ddMS2_Neg.ms2","7.257483","598.9238","118.9925","1500","",""
"5","","AFFF3_ddMS2_Neg.ms2","7.257483","598.9238","84.99067","1500","",""
